artist_name,release_name,song_name
"Mario Ojeda","Segun Pasan Los Años","Era De Esperar"
"Mario Ojeda","Segun Pasan Los Años","De Que Sirve Cantar"
"Mario Ojeda","Segun Pasan Los Años",Bisagra
"Mario Ojeda","Segun Pasan Los Años",Autorretrato
"S-lad La propuesta","Me Enamore","Me Enamore"
Farado,"Hijo Unico",Politicos
Farado,"Hijo Unico","La Pina"
Farado,"Hijo Unico",Desayuno
Farado,"Hijo Unico",Ajimenada
"Jimmy Fontanez","Jimmy Fontanez","Jimmy Fontanez"
Blackhorse,"Jaque Mate","Tumbada en El Prado"
Blackhorse,"Jaque Mate","Puente De Plata"
Blackhorse,"Jaque Mate",Krisbly
Blackhorse,"Jaque Mate","Al Fondo Hay Sitio"
Blackhorse,"Jaque Mate",Timesgo5
Blackhorse,"Jaque Mate","Soy Un Ilooser"
Blackhorse,"Jaque Mate","Pasa a Mi Salón"
"Mario Ojeda","A Contramano","Volver a Los 18"
"Mario Ojeda","A Contramano","Sin Tu Amor"
"Mario Ojeda","A Contramano","Rayito De Sol"
"Mario Ojeda","A Contramano","No Siempre Alcanza"
"Mario Ojeda","A Contramano","Lloro X Vos, Ciudad"
"Mario Ojeda","A Contramano","Lejano Y Viejo Amor"
"Mario Ojeda","A Contramano","Lazos Invisibles (Live)"
"Mario Ojeda","A Contramano",Humanos
"Mario Ojeda","A Contramano","Esa Cruz"
"Mario Ojeda","A Contramano","Era Más Fácil Vivir"
"Mario Ojeda","A Contramano","En Tus Ojos"
"Mario Ojeda","A Contramano",Descaro
"Mario Ojeda","A Contramano","Café Caliente"
"Mario Ojeda","A Contramano","Ayer, Sin Ir Mas Lejos"
"Mario Ojeda","A Contramano","A Villa Gesell"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Y Mas Tarde Señor"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Podrás Decirme"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Para Oírte Respirar"
"Mario Ojeda","Con Voz De Amigos Vol. 1","No Lo Olviden"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Ni Lo Pienses"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Me Gusta Hacerlo"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Lazos Invisibles"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Hacé La Prueba"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Es Un Blues (O Eso Parece)"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Cuanto Tiempo Más"
"Mario Ojeda","Con Voz De Amigos Vol. 1","Con La Emoción Intacta"
"Mario Ojeda","Con Voz De Amigos Vol. 1",Bruselas
"Mario Ojeda","Con Voz De Amigos Vol. 1","Aún en Mis Sueños"
"Marlon A Toledo S","Simple Reconciliacion","Simple Reconciliacion"
"Mario Ojeda","Cumbia Con Gusto No Pica","Yo Vengo"
"Mario Ojeda","Cumbia Con Gusto No Pica","Yo Tampoco Permito"
"Mario Ojeda","Cumbia Con Gusto No Pica","Yo Soy"
"Mario Ojeda","Cumbia Con Gusto No Pica","Tácita Y Extraña"
"Mario Ojeda","Cumbia Con Gusto No Pica",Señorita
"Mario Ojeda","Cumbia Con Gusto No Pica",Mañana
"Mario Ojeda","Cumbia Con Gusto No Pica","Lo Que Hiere"
"Mario Ojeda","Cumbia Con Gusto No Pica","Lo Fundamental"
"Mario Ojeda","Cumbia Con Gusto No Pica","La Lavadora"
"Mario Ojeda","Cumbia Con Gusto No Pica","Estuve Solo"
"Mario Ojeda","Cumbia Con Gusto No Pica","Era De Esperar"
"Mario Ojeda","Cumbia Con Gusto No Pica","Cada Uno Busca"
"Mario Ojeda","Cumbia Con Gusto No Pica","Botas Gastadas"
"Mario Ojeda","Cumbia Con Gusto No Pica","Aunque Parezca"
"Mario Ojeda","Cumbia Con Gusto No Pica","Agua Y Aceite"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Yo Vengo De Una Ciudad"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Se Ve Distinto De Aquí"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Que Suerte Tengo"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Por Siempre Joven"
"Mario Ojeda","Con Voz De Amigos Vol. 2",Perdona
"Mario Ojeda","Con Voz De Amigos Vol. 2","No Hace Falta Ser Un Mago"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Nadie Dijo"
"Mario Ojeda","Con Voz De Amigos Vol. 2","La PoesíA"
"Mario Ojeda","Con Voz De Amigos Vol. 2","La Gracia"
"Mario Ojeda","Con Voz De Amigos Vol. 2","El Hombre Hace"
"Mario Ojeda","Con Voz De Amigos Vol. 2","De Vez en Cuando"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Cada Vez"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Cada Uno Busca"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Busco Una Canción"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Buscando Una Razón"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Ayer, Sin Ir Mas Lejos"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Amanecer - Carlos Barocela"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Adiós Al Amor"
"Mario Ojeda","Canciones Urgentes","Yo Tampoco Permito"
"Mario Ojeda","Canciones Urgentes","Tu Nombre en La Arena"
"Mario Ojeda","Canciones Urgentes","Tú Eres Todas Las Cosas"
"Mario Ojeda","Canciones Urgentes","Soy El Mismo"
"Mario Ojeda","Canciones Urgentes","Siempre en Mí"
"Mario Ojeda","Canciones Urgentes","Si Me Kiere Consultar"
"Mario Ojeda","Canciones Urgentes","Nana Para Gonzalo"
"Mario Ojeda","Canciones Urgentes","La Pregunta"
"Mario Ojeda","Canciones Urgentes","La Canción Es Un Misterio"
"Mario Ojeda","Canciones Urgentes","Demasiadas Emociones"
"Mario Ojeda","Canciones Urgentes","Dejaré Una Flor"
"Mario Ojeda","Canciones Urgentes","Aquí Voy Yo"
"Ricardo J Escajadillo",Ricodillo,"Yendo Pal Norte"
"Ricardo J Escajadillo",Ricodillo,"Un Besito de Dios"
"Ricardo J Escajadillo",Ricodillo,"Te Amaria"
"Ricardo J Escajadillo",Ricodillo,"Siguiendo al Pokemon"
"Ricardo J Escajadillo",Ricodillo,"Sangrame Los Labios"
"Ricardo J Escajadillo",Ricodillo,"San Antonio, Texas"
"Ricardo J Escajadillo",Ricodillo,"My Little Angel from Heaven"
"Ricardo J Escajadillo",Ricodillo,"Mi Amiga Juany"
"Ricardo J Escajadillo",Ricodillo,"Esa Ruth"
"Ricardo J Escajadillo",Ricodillo,"El Tecolotito y La Monita"
"Ricardo J Escajadillo",Ricodillo,"El Mar y La Iguana"
"Ricardo J Escajadillo",Ricodillo,"El Cielo Empezo a Llorar"
"Ricardo J Escajadillo",Ricodillo,"El Chikungunya"
"Ricardo J Escajadillo",Ricodillo,"Besar Tus Labios"
"Ricardo J Escajadillo",Ricodillo,"Ando Enviagrado"
"Ricardo J Escajadillo",Ricodillo,"Amor De Caribeña"
"Ricardo J Escajadillo",Ricodillo,"Acto Macabro"
"El Chaky","Pila De Cuarto","Pila De Cuarto"
"Páramo Sound System",Páramo,"Aura Eterna"
"Páramo Sound System",Páramo,"Autopista Richieri"
"Páramo Sound System",Páramo,"Cordero Blanco De Metal"
"Páramo Sound System",Páramo,"Navegar "
"Páramo Sound System",Páramo,"Mecánicas Celestes"
"Páramo Sound System",Páramo,Ovni
"Páramo Sound System",Páramo,"Tránsito Lunar"
"Páramo Sound System",Páramo,"Aquí (Teniendo Un Souvenir)"
"Páramo Sound System",Páramo,"Antropología 1.0"
"Páramo Sound System",Páramo,Plegaria
"Páramo Sound System",Páramo,Anhelo
Zevna,Barbarroja,"Me Estremece"
Zevna,Barbarroja,Reniegame
Zevna,Barbarroja,Barbarroja
Zevna,Barbarroja,Evoluciona
Zevna,Barbarroja,"De Vuelta Al Invierno"
Zevna,Barbarroja,"Navegando en Tormentas"
Zevna,Barbarroja,Contemplación
Zevna,Barbarroja,"Ya No Te Tendría"
Zevna,Barbarroja,Corre
Zevna,Barbarroja,"Heridas Leves"
Zevna,Barbarroja,"De Las Sombras"
"Menace Acoustic Rock","Para Los Peques","El Camion Recolector"
"Menace Acoustic Rock","Para Los Peques",Mamita
"Menace Acoustic Rock","Para Los Peques",Vialidad
"Menace Acoustic Rock","Para Los Peques","Palabras Magicas"
"Menace Acoustic Rock","Para Los Peques","Los Colores"
"Menace Acoustic Rock","Para Los Peques","Madre Tierra"
"Menace Acoustic Rock","Para Los Peques",Jorgito
"Menace Acoustic Rock","Para Los Peques","El Rock De Los Dientes"
"Menace Acoustic Rock","Para Los Peques","El Señor Del Costal"
"Menace Acoustic Rock","Para Los Peques",Mostaza
